alf,wob,gndr_cd,lsoa2011_cd
978117475,1971-04-20,0,W33999424
551057900,2002-04-14,1,W68527110
356745069,1999-01-27,1,W61422922
841239971,1920-01-05,0,W60440558
872184233,1937-12-23,1,W52046897
692058404,1920-09-26,1,W61657145
604254333,1940-05-02,1,W24764304
416649582,1966-02-08,1,W29238728
115731578,2017-10-23,0,W21257134
654325875,1930-10-15,1,W64481953
395358694,1992-12-12,1,W64939134
262140928,1948-03-05,0,W56748881
954432715,1969-04-04,0,W41054805
787380208,2006-07-08,1,W36964744
775631827,1970-11-29,1,W00701409
515631710,1928-03-24,0,W78532160
357805524,1970-01-28,0,W69814664
826813935,2012-12-23,0,W14463810
232610603,1922-06-18,0,W42499010
176602217,1979-11-05,1,W17171217
260885753,1944-03-27,1,W80053797
155243554,2001-04-21,0,W29299842
715730981,1956-08-31,0,W86699320
489601225,1993-01-04,0,W94937287
576288710,2014-03-28,1,W79715381
542712145,1940-04-27,1,W14712524
875978361,1945-09-04,1,W08383188
393654882,1927-08-24,0,W30062010
630211559,2018-04-22,1,W47199146
102350932,1953-12-27,1,W19185628
156021664,1950-04-30,1,W50801478
806650686,1992-01-12,1,W41573404
943762121,1931-04-17,0,W33841146
299271787,1990-06-21,0,W66220568
474582688,1920-11-14,0,W23996959
612444170,1923-06-30,0,W91964458
267004750,2005-12-07,0,W42282406
420732573,1930-07-17,0,W81199721
562538698,1968-12-13,0,W36465314
160261763,1940-07-23,1,W72170682
158867814,1990-09-25,1,W82803973
592826180,1926-12-07,1,W34264965
307441091,1962-02-10,1,W07584021
931270559,1925-09-14,0,W75958714
140189971,1969-01-10,1,W08328870
700146091,1965-06-15,1,W83668394
991653752,1961-02-17,0,W61595678
195429783,1933-04-16,1,W67241925
225113656,2019-10-20,0,W53499383
220303911,1976-06-02,1,W21837902
579778820,1974-01-30,1,W16122277
893966319,1949-02-27,1,W65723371
469781309,1937-08-25,0,W05645740
646094734,1995-06-03,1,W06348853
176886835,1925-08-25,1,W53551201
337037261,1933-04-16,0,W43187625
614231409,1931-06-09,0,W63064712
353044991,2013-08-31,0,W02229635
654477383,1968-12-02,1,W62078967
464402693,2016-04-07,1,W56983170
209842939,1955-08-23,1,W20507293
877202948,1953-11-11,1,W32404229
630326755,2005-09-06,0,W59195273
142646808,2001-02-25,1,W42432690
426621030,1927-03-17,0,W21326244
916960296,2011-03-25,0,W11483541
185799857,1937-12-03,0,W59136552
503916019,1962-11-27,0,W48458440
700613329,2009-10-10,0,W17785591
